NGP,NGC,Exports,Imports
1.77719,2.86903,0.094412,0.001361
1.639552,2.533045,0.08861,0.005042
1.816526,2.186711,0.10047,0.002657
1.766638,1.725374,0.076622,0.001215
1.837918,1.648905,0.086497,0.004704
1.756096,1.682136,0.09085,0.005186
1.847277,1.862228,0.086624,0.002659
1.868626,1.916484,0.084921,0.003103
1.813135,1.669663,0.08019,0.002428
1.905763,1.69746,0.096838,0.001315
1.843941,2.013095,0.124649,0.000422
1.933102,2.770623,0.136337,0.000015
1.901499,2.947202,0.136943,0.001452
1.683567,2.50194,0.12614,0.002082
1.949824,2.27445,0.145659,0.003622
1.909401,1.860165,0.127511,0.001314
1.977417,1.698892,0.132983,0.003512
1.903175,1.688805,0.120545,0.004387
1.979461,1.926916,0.1143,0.002899
2.002658,1.92815,0.112407,0.005112
1.934998,1.686983,0.127885,0.003175
2.063146,1.777421,0.110498,0.001736
2.021681,2.07127,0.128747,0.002371
2.078892,2.592346,0.135583,0.003501
2.095379,2.816977,0.131638,0.003116
1.921858,2.555762,0.131347,0.001811
2.062279,2.173561,0.142435,0.00412
1.990079,1.994864,0.124258,0.006958
2.064882,1.913537,0.134175,0.003696
1.985593,1.90813,0.126266,0.000815
2.104807,2.114077,0.119433,0.001223
2.094448,2.051682,0.140501,0.000694
2.038525,1.845379,0.138611,0.00169
2.111027,1.941321,0.141189,0.000789
2.045867,2.214645,0.143579,0.001394
2.095322,2.55865,0.159964,0.00184
2.077633,2.95182,0.155832,0.000032
1.88204,2.632217,0.1342,0.001337
2.078076,2.584486,0.149881,0.000035
2.037004,2.015981,0.126903,0.000177
2.097713,1.795051,0.14335,0.000659
2.027056,1.785401,0.135012,0.000197
2.135986,1.973521,0.12977,0.000017
2.131389,1.974609,0.131497,0.000554
2.057272,1.810038,0.123523,0.000202
2.132286,1.912351,0.123507,0.00018
2.08464,2.374758,0.114705,0.000011
2.117978,2.994905,0.118385,0.00001
2.13645,3.301739,0.13602,0.00001
1.975393,2.824408,0.139797,0.000015
2.202854,2.634668,0.150854,0.000025
2.183946,2.019421,0.123025,0.00002
2.244558,1.862981,0.115132,0.000026
2.183368,1.796176,0.120943,0.000893
2.304121,1.935907,0.128446,0.000143
2.316668,1.989587,0.116414,0.000014
2.241143,1.86203,0.12097,0.000146
2.338819,1.968636,0.116104,0.000568
2.24889,2.427781,0.121949,0.000025
2.341863,2.759504,0.138215,0.000016
2.361033,3.225121,0.145823,0.000028
2.143142,3.02876,0.146259,0.00002
2.383242,2.682045,0.165443,0.000027
2.339657,2.077147,0.131501,0.000047
2.382846,1.92174,0.135483,0.000034
2.300615,1.965222,0.139423,0.000157
2.384835,2.139057,0.145114,0.000234
2.387549,2.12351,0.146189,0.000033
2.325114,1.966653,0.164036,0.001561
2.385117,2.055676,0.159944,0.000031
2.298489,2.32738,0.157141,0.000021
2.375243,2.678785,0.16321,0.001277
2.364713,3.200999,0.170037,0.000029
2.243482,2.745566,0.164222,0.000039
2.371122,2.438381,0.196669,0.000037
2.293033,2.156019,0.179454,0.000051
2.342478,2.033497,0.189968,0.000519
2.245198,2.069855,0.18466,0.001776
2.33902,2.262495,0.190381,0.000021
2.320472,2.285098,0.216154,0.000012
2.230743,2.015024,0.203804,0.00177
2.296068,1.991499,0.178054,0.001386
2.240543,2.234524,0.22997,0.00002
2.289151,2.967399,0.253093,0.000009
2.266195,3.014317,0.27239,0.000009
2.075515,2.420363,0.255506,0.000015
2.349859,2.609482,0.275805,0.00001
2.276851,1.996846,0.244606,0.000048
2.352708,1.954749,0.251107,0.000013
2.298884,1.973654,0.255602,0.000611
2.400012,2.213217,0.25104,0.000046
2.398663,2.163859,0.249527,0.000048
2.361885,1.983682,0.251156,0.000026
2.483981,2.09886,0.282293,0.000282
2.478669,2.43674,0.290316,0.000328
2.546113,3.189328,0.30284,0.000011
2.528942,3.456029,0.302936,0.000051
2.331937,2.803588,0.278133,0.000002
2.611912,2.892652,0.294091,0.000051
2.523365,2.430476,0.281452,0.000562
2.637459,2.124184,0.274565,0.000629
2.565296,2.132796,0.264353,0.000486
2.7036,2.430807,0.308751,0.000007
2.758128,2.392477,0.314252,0.000028
2.712942,2.228765,0.304457,0.00021
2.838922,2.361914,0.309413,0.000528
2.795311,2.807712,0.340829,0.000011
2.874334,3.10144,0.36708,0.000328
2.872009,3.550046,0.36807,0.000069
2.611746,3.130155,0.332924,0.000017
2.904813,3.034601,0.376901,0.000065
2.824716,2.292548,0.341257,0.000543
2.941149,2.211003,0.371885,0.00043
2.854124,2.195729,0.363468,0.000019
2.965529,2.480888,0.396941,0.000015
3.037634,2.522268,0.388448,0.000563
2.950891,2.285708,0.398062,0.000165
3.076025,2.389642,0.429607,0.000469
3.025607,2.884605,0.445922,0.000504
3.122941,3.286505,0.486093,0.000009
3.130136,3.444573,0.515038,0.000071
2.871921,3.170204,0.458333,0.000048
3.062056,2.820564,0.501914,0.000022
2.956219,2.341873,0.424554,0.000117
2.824609,2.148215,0.399031,0.000536
2.812374,2.207997,0.341533,0.000002
2.904261,2.554167,0.352309,0.000442
2.905856,2.487799,0.363472,0.000424
2.840128,2.231481,0.398983,0.000551
2.88383,2.400954,0.485955,0.00169
2.877658,2.531669,0.532964,0.000012
2.993091,3.300524,0.558155,0.000096
2.97824,3.452923,0.568587,0.000014
2.490734,3.205492,0.42782,0.000055
3.007476,2.732031,0.600769,0.000331
2.933245,2.350061,0.569412,0.000016
3.028591,2.188936,0.583259,0.0005
2.920396,2.319404,0.544017,0.00025
3.046258,2.501219,0.571141,0.000293
3.055284,2.520569,0.568645,0.000019
2.976799,2.211635,0.540403,0.000183
3.12487,2.336948,0.54996,0.000337
3.058198,2.778471,0.561995,0.000259
3.186768,3.113428,0.626474,0.000647
3.090308,3.703949,0.616333,0.000113
2.783895,3.152616,0.551346,0.000054
3.135381,2.871872,0.644826,0.000044
3.055875,2.433763,0.592672,0.000072
3.182746,2.312806,0.622215,0.000035
3.087499,2.392557,0.558743,0.000481
3.223854,2.674464,0.56488,0.000245
3.240385,2.650025,0.563053,0.000056
3.181192,2.367526,0.531203,0.000026
3.283712,2.438845,0.559317,0.00005
3.177523,2.85913,0.558758,0.000476
3.219363,3.489945,0.602692,0.000019
3.27268,3.416614,0.614082,0.000115
2.958379,3.047414,0.579946,0.000013
3.304004,3.113749,0.65663,0.000016
3.190224,2.502593,0.626283,0.000846
3.326067,2.392323,0.644127,0.000288
3.209016,2.440809,0.612773,0.000911
3.320284,2.7548,0.640195,0.001154
3.356621,2.765133,0.64021,0.000081
3.247456,2.454995,0.631255,0.000066
3.351271,2.522795,0.657672,0.000817
3.291621,2.919921,0.660602,0.000752
3.418839,3.276992,0.715791,0.000047